iter	F1	Logloss
0	0.8057103583	0.6730191464
1	0.8153280432	0.6557247689
2	0.8230438588	0.6337907025
3	0.8629566934	0.6173915459
4	0.8744499496	0.5974439922
5	0.8870056729	0.5810611307
6	0.8841872231	0.5673842445
7	0.8809036167	0.5580288448
8	0.8845883483	0.5436017134
9	0.9008033132	0.5269123448
10	0.9006305637	0.5118197065
11	0.8985075172	0.5023162789
12	0.9039000911	0.4859197522
13	0.9025344606	0.4751921399
14	0.8993770031	0.4654127694
15	0.9075534935	0.4568205779
16	0.9062743511	0.443609696
17	0.9069134712	0.441579057
18	0.9073788524	0.4335128866
19	0.9038320085	0.4286756668
20	0.9027853005	0.418814459
21	0.9021468382	0.4130969291
22	0.9074952723	0.4046067816
23	0.9045625611	0.3966364108
24	0.9086027534	0.3877530946
25	0.9096544423	0.3784707927
26	0.9083533168	0.3719374233
27	0.9100055465	0.366933528
28	0.9098299605	0.3610433482
29	0.9132331245	0.3521003439
30	0.9132918474	0.3437699588
31	0.9158689807	0.3390972162
32	0.9167521674	0.3321728492
33	0.9172238972	0.3278567834
34	0.9171649044	0.3238848779
35	0.915410915	0.3204198605
36	0.9157060079	0.3155208655
37	0.9158240983	0.3130195959
38	0.9204475618	0.3056502043
39	0.9203020136	0.2995610385
40	0.9205396477	0.2959604772
41	0.9206585108	0.2948149129
42	0.9207179539	0.2914102199
43	0.922404498	0.2878526049
44	0.9230586605	0.2847895477
45	0.9229991529	0.281097182
46	0.9231181758	0.2791449997
47	0.9232372295	0.2756045623
48	0.9234754291	0.2727187005
49	0.9255713408	0.270015421
50	0.9258097962	0.2680242434
51	0.9225645036	0.264837758
52	0.9222065291	0.2631944473
53	0.9265856254	0.2604826429
54	0.9268843676	0.2579956001
55	0.9274824302	0.2558391012
56	0.9253256513	0.2537028952
57	0.9276021354	0.2507566773
58	0.9277218714	0.2487510289
59	0.9283210157	0.2464497525
60	0.9282610665	0.2451458596
61	0.9283210157	0.2445592398
62	0.9280812652	0.2432363669
63	0.9286208781	0.2374199165
64	0.9309514565	0.2349481621
65	0.9310115154	0.2342114096
66	0.9313119263	0.2324202775
67	0.9310715821	0.2320284325
68	0.9323950126	0.2291129688
69	0.9324552579	0.2283085268
70	0.9325757719	0.2265256718
71	0.9344791764	0.2241726706
72	0.9363753465	0.2224710137
73	0.9364356307	0.2222058382
74	0.9367371683	0.2203466545
75	0.9366768452	0.2198516032
76	0.9369181841	0.2177441443
77	0.9371596473	0.2162661131
78	0.9370389002	0.2157478628
79	0.9372804256	0.2135347536
80	0.9376429474	0.2124778436
81	0.9397739326	0.2117906712
82	0.9381267462	0.2100874206
83	0.9381872562	0.2095391346
84	0.9380662441	0.2083825763
85	0.9419584521	0.2068983445
86	0.9418979294	0.2055860962
87	0.9422611824	0.2039690295
88	0.9422611824	0.2031156132
89	0.942442914	0.2016226577
90	0.944317847	0.2004701762
91	0.9441966737	0.1999606318
92	0.9444996652	0.1984678124
93	0.9425641074	0.1979711275
94	0.9446815535	0.1970704239
95	0.9446815535	0.1970217751
96	0.9428065876	0.1964840334
97	0.9428065876	0.1964173567
98	0.9428065876	0.1952216359
99	0.9448028513	0.1947492387
100	0.9449241803	0.1931490042
101	0.9451669317	0.1927249127
102	0.9433526246	0.1915974311
103	0.9453490771	0.1908807236
104	0.9453490771	0.1896563136
