iter	Passed	Remaining
0	332	498539
1	456	341642
2	520	259759
3	572	214236
4	638	190913
5	684	170562
6	735	156946
7	786	146659
8	859	142341
9	907	135199
10	994	134674
11	1051	130402
12	1100	125844
13	1146	121676
14	1199	118755
15	1253	116299
16	1304	113785
17	1328	109360
18	1376	107284
19	1403	103826
20	1473	103810
21	1536	103255
22	1617	103873
23	1699	104520
24	1756	103621
25	1805	102354
26	1849	100886
27	1895	99659
28	1954	99150
29	2016	98798
30	2072	98193
31	2130	97729
32	2175	96713
33	2223	95881
34	2284	95607
35	2347	95467
36	2445	96714
37	2495	96012
38	2542	95260
39	2592	94616
40	2639	93941
41	2664	92497
42	2705	91678
43	2748	90941
44	2783	90015
45	2826	89339
46	2877	88957
47	2951	89289
48	3016	89317
49	3076	89207
50	3134	89062
51	3191	88876
52	3256	88920
53	3324	89009
54	3391	89116
55	3452	89033
56	3500	88607
57	3552	88324
58	3607	88106
59	3658	87796
60	3711	87548
61	3771	87481
62	3814	87009
63	3884	87156
64	3944	87087
65	3992	86738
66	4062	86886
67	4124	86846
68	4185	86812
69	4239	86602
70	4288	86312
71	4336	86008
72	4386	85750
73	4407	84926
74	4455	84660
75	4493	84188
76	4550	84103
77	4607	84003
78	4683	84236
79	4742	84172
80	4807	84219
81	4870	84232
82	4929	84157
83	4953	83499
84	4998	83207
85	5053	83080
86	5118	83127
87	5178	83099
88	5234	82992
89	5295	82959
90	5359	82985
91	5421	82969
92	5486	83010
93	5550	83025
94	5616	83060
95	5653	82678
96	5715	82669
97	5756	82346
98	5826	82447
99	5885	82399
100	5939	82270
101	6000	82239
102	6063	82244
103	6125	82221
104	6184	82162
105	6251	82211
106	6313	82198
107	6374	82155
108	6434	82111
109	6498	82121
110	6561	82108
111	6596	81746
112	6654	81680
113	6700	81467
114	6752	81323
115	6797	81105
116	6843	80889
117	6885	80636
118	6948	80635
119	6965	80102
120	7028	80101
121	7088	80066
122	7150	80053
123	7209	79997
124	7272	79995
125	7332	79955
126	7397	79975
127	7456	79919
128	7515	79875
129	7574	79825
130	7626	79696
131	7653	79319
132	7714	79289
133	7779	79301
134	7840	79275
135	7878	79015
136	7929	78889
137	7989	78851
138	8048	78808
139	8107	78762
140	8166	78709
141	8231	78719
142	8295	78720
143	8357	78698
144	8386	78372
145	8450	78369
146	8491	78155
147	8554	78143
148	8610	78068
149	8671	78042
150	8730	78000
151	8792	77977
152	8859	77993
153	8921	77972
154	8987	77984
155	9051	77984
156	9080	77677
157	9135	77593
158	9196	77562
159	9257	77530
160	9314	77468
161	9379	77467
162	9446	77487
163	9511	77485
164	9570	77437
165	9634	77424
166	9697	77407
167	9759	77376
168	9819	77331
169	9880	77300
170	9948	77317
171	9976	77026
172	10025	76900
173	10076	76787
174	10139	76771
175	10203	76757
176	10232	76484
177	10283	76372
178	10343	76332
179	10391	76204
180	10464	76254
181	10487	75948
182	10507	75619
183	10522	75260
184	10554	75021
185	10621	75034
186	10683	75015
187	10747	75006
188	10795	74885
189	10828	74662
190	10895	74667
191	10921	74405
192	10948	74146
193	11019	74184
194	11081	74158
195	11136	74094
196	11198	74069
197	11255	74015
198	11335	74108
199	11411	74175
200	11465	74100
201	11528	74080
202	11597	74096
203	11646	73987
204	11688	73835
205	11733	73703
206	11776	73560
207	11827	73466
208	11884	73410
209	11944	73373
210	12000	73312
211	12041	73156
212	12105	73141
213	12140	72958
214	12174	72763
215	12228	72694
216	12289	72658
217	12351	72635
218	12398	72525
219	12443	72397
220	12505	72375
221	12572	72377
222	12637	72367
223	12697	72329
224	12757	72291
225	12816	72251
226	12853	72083
227	12911	72032
228	12969	71981
229	13079	72219
230	13138	72174
231	13211	72207
232	13275	72186
233	13332	72131
234	13391	72087
235	13449	72032
236	13510	71999
237	13567	71941
238	13625	71892
239	13684	71846
240	13748	71821
241	13815	71816
242	13839	71589
243	13892	71511
244	13942	71421
245	14002	71379
246	14053	71292
247	14115	71260
248	14176	71223
249	14241	71205
250	14305	71187
251	14369	71163
252	14425	71102
253	14484	71052
254	14543	71005
255	14560	70754
256	14617	70698
257	14677	70658
258	14736	70610
259	14798	70579
260	14845	70474
261	14904	70426
262	14963	70378
263	15021	70327
264	15082	70288
265	15138	70230
266	15172	70068
267	15229	70011
268	15255	69811
269	15316	69774
270	15374	69722
271	15445	69732
272	15475	69554
273	15531	69497
274	15593	69460
275	15660	69449
276	15722	69417
277	15789	69404
278	15862	69419
279	15923	69379
280	15983	69338
281	16045	69304
282	16105	69259
283	16134	69082
284	16196	69049
285	16261	69025
286	16333	69033
287	16392	68983
288	16456	68956
289	16517	68916
